count,value
0,8.6529138289
1,10.9642365359
2,10.9846308923
3,8.9148995021
4,11.1819986912
5,11.7186568621
6,9.9245391306
7,9.1806833443
8,10.1118540978
9,9.5047434291
10,11.31016339
11,9.1829592216
12,10.7148803873
13,10.7723616014
14,10.4483448636
15,10.1093988398
16,11.9015356063
17,11.202179451
18,9.6080977266
19,11.4837528779
20,9.289504034
21,11.0267348419
22,11.6412428059
23,8.063820305
24,12.3977761774
25,10.6544839071
26,10.1683104047
27,11.5899818767
28,10.5064408894
29,8.5825382345
30,12.0967927842
31,9.7999977928
32,8.8768655409
33,11.0979089137
34,7.8496154987
35,11.9295274525
36,10.706492795
37,11.6160153108
38,11.1355107739
39,8.9662734119
40,8.9242706405
41,9.5503894653
42,8.8564415654
43,10.9686754947
44,9.2926294043
45,8.0706529113
46,8.522004276
47,11.5721404109
48,9.7204691743
49,8.1536140892
50,8.5425222249
51,10.0255519594
52,9.3431693044
53,10.4165539157
54,8.9201508552
55,9.1912727518
56,10.1095612054
57,9.4459252729
58,9.3050086433
59,9.6645842183
60,10.7505465341
61,12.425774775
62,10.3500356359
63,9.8509566577
64,11.37111276
65,11.0103025424
66,10.9782211506
67,11.8917696748
68,9.410854876
69,9.206617673
70,10.4705900792
71,9.1516857277
72,10.8541571101
73,9.4823542225
74,10.8931984318
75,11.2335185725
76,10.1580336264
77,8.1867858746
78,9.2077560822
79,9.3763227696
80,9.4396852198
81,8.1360670609
82,8.6848122911
83,9.9019938891
84,11.4065696484
85,10.3118730571
86,11.2375972262
87,10.5799824928
88,12.4661651756
89,11.203613268
90,9.0730379882
91,9.5614701954
92,8.3292347094
93,9.4452844411
94,9.4353967422
95,9.1142578509
96,9.1569753777
97,9.7990621242
98,8.6361361533
99,7.8357089232
