header
日本語count,time,value1,value2,trigger1,trigger2
0,0.05,0.012443885,0.5724756507,0,0
1,0.1,0.3540216993,1.0362906885,0,0
2,0.15,0.2348348103,1.1646591984,0,0
3,0.2,0.0414181618,0.8760443769,0,0
4,0.25,0.1530823125,0.937751596,0,0
5,0.3,0.3854290575,1.0500845776,0,0
6,0.35,0.1004505067,0.9062443632,0,0
7,0.4,0.2375782727,0.5639372605,0,0
8,0.45,0.2481831862,1.0748119829,0,0
9,0.5,0.3698354805,0.749383477,0,0
10,0.55,0.7362391666,0.7832066894,0,0
11,0.6,0.3912891299,0.6836674884,0,0
12,0.65,0.3793958226,0.7104956938,0,0
13,0.7,0.6986853425,0.8765990436,0,0
14,0.75,0.4148738369,0.4817353065,0,0
15,0.8,0.4894820097,0.9083980124,0,0
16,0.85,0.3656773165,0.4321472972,0,0
17,0.9,0.4948611289,0.3873468055,0,0
18,0.95,0.7197031428,0.4213277089,0,0
19,1,0.2362796036,0.4840063678,0,0
20,1.05,0.222090096,0.7527606126,0,0
21,1.1,0.479180499,0.4982650647,0,0
22,1.15,0.6687288068,0.1412404748,0,0
23,1.2,0.7327659714,0.2015005437,0,0
24,1.25,0.6058817607,0.2798854829,0,0
25,1.3,0.9350544544,0.4114398705,0,0
26,1.35,0.6500616219,0.358671332,0,0
27,1.4,0.8079403558,0.2043021372,0,0
28,1.45,0.8242222488,0.2308935054,0,0
29,1.5,0.8023308128,0.0201377702,0,0
30,1.55,0.6495135739,0.0058547269,0,0
31,1.6,0.9418286478,0.2090372509,0,0
32,1.65,0.9504326369,0.0894665075,0,0
33,1.7,0.9277398939,-0.1718313672,0,0
34,1.75,0.9627357469,-0.3292728406,0,0
35,1.8,0.5981683332,-0.124425108,0,0
36,1.85,1.1711369558,-0.1690369965,0,0
37,1.9,1.0752804245,-0.1403963629,0,0
38,1.95,1.0997476773,0.0374746128,0,0
39,2,1.1451364057,-0.3384249983,0,0
40,2.05,1.0935532815,-0.3241405134,0,0
41,2.1,0.7583486417,-0.5131209165,0,0
42,2.15,0.9911724484,-0.3528906589,0,0
43,2.2,0.7760818409,-0.7898951358,0,0
44,2.25,1.0162308592,-0.3247764866,0,0
45,2.3,1.1410653349,-0.6852094595,0,0
46,2.35,1.162964066,-0.6282987098,0,0
47,2.4,0.8858832534,-0.7635757799,0,0
48,2.45,0.8775904283,-0.223136417,0,0
49,2.5,1.4034027706,-0.7043700832,0,0
50,2.55,0.8065147762,-0.6960323458,0,0
51,2.6,0.8641016659,-0.9565360855,0,0
52,2.65,0.8565814373,-0.6536498385,0,0
53,2.7,1.1498616153,-0.6882939089,0,0
54,2.75,1.0739268553,-0.6012290792,0,0
55,2.8,1.0501418576,-0.9499545774,0,0
56,2.85,0.6870462393,-0.7629138994,0,0
57,2.9,1.0764240185,-0.6982600878,0,0
58,2.95,0.5681823693,-1.343487414,0,0
59,3,0.8281994345,-1.2070768048,0,0
60,3.05,1.2204235289,-1.0744304003,0,0
61,3.1,1.2167802475,-1.2404300615,0,0
62,3.15,0.9619098005,-1.4350582356,0,0
63,3.2,0.6637402128,-1.1393230767,0,0
64,3.25,1.0638427414,-1.062829251,0,0
65,3.3,1.038108304,-1.2931813846,0,0
66,3.35,0.6079592103,-1.4552059089,0,0
67,3.4,0.803465305,-1.4759300806,0,0
68,3.45,1.1266663063,-0.8219557555,1,0
69,3.5,0.7132890861,-1.3204094627,1,0
70,3.55,0.6275183106,-1.6676728764,1,0
71,3.6,0.6513896017,-1.4573611488,1,0
72,3.65,0.7958365722,-1.6431756922,1,0
73,3.7,0.9592138934,-1.6093233098,1,0
74,3.75,0.5488567138,-1.5272714329,1,0
75,3.8,0.8165553037,-1.277168773,1,0
76,3.85,0.8637366383,-1.5798281482,1,0
77,3.9,0.5031045803,-1.4270288165,1,0
78,3.95,0.7452777763,-1.6807744536,1,0
79,4,0.5330598259,-1.789114551,1,0
80,4.05,0.7570516481,-1.7276355006,1,0
81,4.1,0.514223808,-1.7002456338,1,0
82,4.15,0.4527808967,-2.0476637554,1,0
83,4.2,0.663422646,-1.9456570574,1,0
84,4.25,0.4786048958,-2.2514532261,1,0
85,4.3,0.4864140667,-1.8359007394,1,0
86,4.35,0.3376735422,-1.7328254358,1,0
87,4.4,0.7371358305,-2.2101875275,1,0
88,4.45,0.5604372883,-2.259655506,1,0
89,4.5,0.4386353657,-2.014091808,1,0
90,4.55,0.4927330455,-1.8198344813,1,0
91,4.6,0.3936922768,-1.8176266321,1,0
92,4.65,0.4848599837,-2.1799757114,1,0
93,4.7,-0.1732664992,-1.7656283803,1,0
94,4.75,0.2268773337,-1.8644266738,1,0
95,4.8,0.1030022783,-2.0516233284,1,0
96,4.85,0.2537526646,-2.0457047538,1,0
97,4.9,-0.0672125889,-2.0387455916,1,0
98,4.95,-0.0988814109,-2.010503675,1,0
99,5,0.1024015703,-2.2526405215,1,0
100,5.05,-0.4842073243,-1.9915075217,1,0
101,5.1,0.1411388166,-2.059454813,1,0
102,5.15,-0.2144046532,-2.2275390986,1,0
103,5.2,-0.1841334726,-2.259150423,1,0
104,5.25,0.1413461155,-1.7336011943,1,0
105,5.3,-0.2796333426,-2.1308139916,1,0
106,5.35,-0.5684402868,-1.7010231136,1,0
107,5.4,0.2934269259,-1.5255465363,1,0
108,5.45,-0.2736623489,-1.9452617979,1,0
109,5.5,-0.590766848,-1.964129937,1,0
110,5.55,-0.4424683591,-2.3398058979,1,0
111,5.6,-0.4385964266,-1.9463706071,1,0
112,5.65,-0.1902228612,-1.925356195,1,0
113,5.7,-0.7517819935,-1.8496819915,1,0
114,5.75,-0.68976446,-1.6329587264,1,0
115,5.8,-0.2870402884,-1.7318342054,1,0
116,5.85,-0.1384775094,-2.1452877193,1,0
117,5.9,-0.8946843765,-1.7384509738,1,0
118,5.95,-0.8175692137,-1.9870951293,1,0
119,6,-0.7434636516,-1.6001944079,1,0
120,6.05,-0.8100462596,-1.6579842284,1,0
121,6.1,-0.2498096816,-1.6210467118,1,0
122,6.15,-0.503818069,-1.5518867776,1,0
123,6.2,-0.4463255215,-2.0709095976,1,0
124,6.25,-0.5221539361,-1.6183437934,1,0
125,6.3,-0.8368824906,-1.8619168638,1,0
126,6.35,-0.5237016412,-1.5648937773,1,0
127,6.4,-0.6078293102,-1.3992916513,1,0
128,6.45,-0.7934831913,-1.5164972023,1,0
129,6.5,-0.6856491192,-1.2752928356,1,0
130,6.55,-0.7283031221,-1.1470362637,1,0
131,6.6,-0.5877166249,-1.4594651865,1,0
132,6.65,-0.7658813556,-1.5516181641,2,0
133,6.7,-0.7721253791,-1.0026897192,2,0
134,6.75,-0.646414634,-1.731418379,2,0
135,6.8,-0.6331599985,-1.1938867775,2,0
136,6.85,-0.9492717966,-0.990751634,2,0
137,6.9,-1.0645835972,-1.0866205809,2,0
138,6.95,-0.8077459414,-1.4792933403,2,0
139,7,-0.7894464593,-1.0448732538,3,0
140,7.05,-0.7039517976,-1.1232631856,3,0
141,7.1,-0.9614191415,-1.021160217,3,0
142,7.15,-0.9392605042,-1.1552074324,3,0
143,7.2,-0.9975441828,-1.02544349,3,0
